Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
1437,131,1455,26-Mar-20,0,1,,0,Balochistan,130,0
77,1,77,26-Mar-20,0,0,,12,AJK,1,0
347,84,624,26-Mar-20,0,1,,0,GB,83,0
712,25,712,27-Mar-20,2,0,,151,ICT,12,0
1298,408,2257,27-Mar-20,3,3,,741,Punjab,402,0
4456,417,1592,27-Mar-20,14,1,,416,Sindh,402,0
704,123,917,27-Mar-20,2,3,,10,KP,118,0
1494,131,1512,27-Mar-20,0,1,,57,Balochistan,130,0
83,2,83,27-Mar-20,0,0,,6,AJK,2,0
777,91,762,27-Mar-20,2,1,,430,GB,88,0
910,39,1056,28-Mar-20,2,0,,198,ICT,8,0
3339,490,3310,28-Mar-20,4,5,,210,Punjab,237,0
4807,457,5158,28-Mar-20,14,1,,351,Sindh,294,0
820,180,1121,28-Mar-20,2,3,,104,KP,50,0
1494,133,1657,28-Mar-20,2,1,,22,Balochistan,122,0
90,2,97,28-Mar-20,0,0,,7,AJK,2,0
787,107,832,28-Mar-20,3,1,,45,GB,12,0
1067,43,1213,29-Mar-20,2,0,30,157,ICT,11,0
3521,558,3492,29-Mar-20,4,5,302,182,Punjab,247,0
5322,481,5673,29-Mar-20,14,2,171,515,Sindh,294,0
928,188,1229,29-Mar-20,2,4,122,108,KP,60,0
1601,138,1737,29-Mar-20,2,1,5,136,Balochistan,130,0
97,2,97,29-Mar-20,0,0,0,7,AJK,2,0
788,116,895,29-Mar-20,4,1,99,1,GB,12,0
1200,51,1310,3/30/2020,3,0,35,133,ICT,13,0
3616,593,3492,3/30/2020,5,6,329,95,Punjab,253,0
5945,508,5945,3/30/2020,16,5,181,623,Sindh,306,0
1022,195,1324,3/30/2020,2,5,128,94,KP,60,0
1695,144,1710,3/30/2020,2,1,8,94,Balochistan,133,0
105,6,105,3/30/2020,0,0,0,8,AJK,6,0
862,128,862,3/30/2020,4,1,111,74,GB,12,0
1395,58,1469,3/31/2020,3,0,39,195,ICT,16,0
3770,652,2500,3/31/2020,5,9,335,154,Punjab,303,0
6328,627,6328,3/31/2020,42,7,263,383,Sindh,315,0
1334,221,1512,3/31/2020,2,6,143,312,KP,70,0
1825,153,1792,3/31/2020,2,1,11,130,Balochistan,139,0
177,6,177,3/31/2020,0,0,0,72,AJK,6,0
880,148,880,3/31/2020,4,2,130,18,GB,12,0
1703,54,1703,4/1/2020,3,0,35,122,ICT,16,0
4462,708,2720,4/1/2020,5,9,337,692,Punjab,357,0
6578,676,6578,4/1/2020,51,8,232,250,Sindh,385,0
1524,253,1271,4/1/2020,2,6,171,190,KP,74,0
1934,158,1934,4/1/2020,17,1,16,109,Balochistan,124,0
239,6,239,4/1/2020,0,0,0,62,AJK,6,0
891,184,750,4/1/2020,4,2,166,11,GB,12,0
1997,62,1997,4/2/2020,3,0,44,294,ICT,15,0
5086,845,2945,4/2/2020,6,11,444,624,Punjab,384,0
6926,743,6926,4/2/2020,58,9,289,348,Sindh,387,0
1814,276,1814,4/2/2020,19,8,165,290,KP,84,0
2049,169,2049,4/2/2020,17,1,26,115,Balochistan,125,0
249,9,249,4/2/2020,0,0,0,10,AJK,9,0
894,187,797,4/2/2020,4,2,169,3,GB,12,0
2395,68,2395,4/3/2020,3,0,47,398,ICT,18,0
5522,920,15134,4/3/2020,6,11,447,436,Punjab,456,0
7504,783,7504,4/3/2020,65,11,297,578,Sindh,410,0
1938,311,1938,4/3/2020,30,9,180,124,KP,92,0
2171,169,2171,4/3/2020,17,1,26,122,Balochistan,125,0
322,9,322,4/3/2020,0,0,0,73,AJK,9,0
961,190,844,4/3/2020,5,3,170,67,GB,12,0
343,11,343,4/4/2020,0,0,0,21,AJK,11,21
2401,175,2401,4/4/2020,17,1,25,230,Balochistan,132,0
963,193,860,4/4/2020,9,3,169,2,GB,12,844
2569,75,2569,4/4/2020,3,0,58,174,ICT,14,174
2369,343,1624,4/4/2020,30,11,210,431,KP,92,181
5456,1072,16508,4/4/2020,6,11,549,334,Punjab,506,1087
8625,839,8625,4/4/2020,65,14,369,1121,Sindh,391,1121
385,12,385,4/5/2020,1,0,0,42,AJK,11,42
2513,185,2513,4/5/2020,17,1,34,132,Balochistan,133,132
1058,206,975,4/5/2020,9,3,182,95,GB,12,116
2744,78,2744,4/5/2020,3,0,65,175,ICT,10,175
2548,372,1769,4/5/2020,30,14,233,179,KP,95,147
7859,1163,17653,4/5/2020,25,12,600,2403,Punjab,526,1145
8846,864,8846,4/5/2020,85,15,374,221,Sindh,390,221
400,15,400,4/6/2020,1,0,0,15,AJK,14,15
3504,191,2777,4/6/2020,30,1,48,419,Balochistan,112,264
1062,210,998,4/6/2020,13,3,182,4,GB,12,23
2871,82,2871,4/6/2020,3,0,68,127,ICT,11,127
